신체부위,운동 이름,난이도,운동방법,효과,주의사항
등,덤벨 로우,중급,상체를 숙이고 덤벨을 주머니 쪽으로 당기는 등 운동,"등(광배근, 승모근 중부) 두께감 형성",상체를 숙였을 때 척추의 중립을 유지하고 허리가 굽지 않도록 합니다.
등,원암 덤벨 로우,중급,한쪽 손과 무릎을 벤치에 대고 한 손으로 덤벨을 당기는 운동,등 광배근 집중 고립 및 좌우 균형,몸통이 한쪽으로 과도하게 회전하지 않도록 코어로 중심을 잡고 당깁니다.
등,T바 로우,중급,T자 모양의 바에 원판을 끼우고 가랑이 사이로 당기는 운동,등 중부 및 외측 두께감 향상,상체 각도가 너무 들리지 않게 유지하고 척추 중립에 주의합니다.
등,풀업,중급,철봉을 잡고 광배근의 힘을 이용하여 몸을 위로 당겨 올리는 운동,"등(광배근, 대원근) 프레임 넓히기",매달렸을 때 어깨가 귀에 붙지 않도록 숄더패킹을 하고 가슴을 위로 열어줍니다.
등,어시스트 풀업,중급,머신이나 밴드의 조력을 받아 수행하는 턱걸이,등(광배근) 기초 근력 및 자세 교정,도움을 받더라도 가슴을 위로 열어주며 등에 집중하고 어깨가 솟지 않게 합니다.
등,친업,고급,손바닥이 몸을 보게 철봉을 잡고 당겨 올리는 운동,등 하부 광배근 및 이두근 발달,이두근의 개입이 커지므로 팔 힘만으로 당기지 않도록 견갑의 움직임에 집중합니다.
등,케이블 로우,고급,케이블 머신 앞에서 로프나 바를 몸쪽으로 당기는 운동,등 전체 근육의 지속적인 긴장 유지,당긴 후 이완할 때 케이블 무게에 딸려가지 않도록 광배근으로 무게를 통제합니다.
등/전신,바벨 데드리프트 (루마니안),고급,바벨을 들고 상체를 숙였다가 일어나는 전신 운동,"등 전체, 엉덩이, 허벅지 뒤쪽 강화","초보자는 가벼운 무게로 시작하며, 바가 몸에서 떨어지지 않게 밀착시키고 허리가 굽지 않아야 합니다."
어깨,암 서클,초급,양팔을 옆으로 벌리고 원을 그리며 돌려주는 운동,어깨 관절 가동성 회복 및 회전근개 강화,목 승모근이 과도하게 으쓱하지 않도록 어깨를 누른 상태에서 부드럽게 돌립니다.
어깨,밴드 프레스,초급,밴드를 발로 밟거나 고정 후 머리 위로 밀어 올리는 운동,전면 및 측면 삼각근 기초 강화,밴드의 탄성 때문에 손목이 꺾이거나 흔들리지 않도록 단단히 고정합니다.
어깨,덤벨 레터럴 레이즈,초급,양손에 덤벨을 들고 옆으로 들어 올리는 운동,어깨 측면(측면 삼각근) 볼륨감,"무거운 무게보다는 자극 위주로 진행하며, 손이 팔꿈치보다 높게 올라가지 않도록 합니다."
어깨,케이블 페이스 풀,초급,케이블 로프를 얼굴 방향으로 당기는 어깨 운동,"어깨 후면, 상부 승모근 정돈",로프를 당길 때 팔꿈치를 바깥쪽으로 넓게 벌려 어깨 뒤쪽에 자극을 줍니다.
어깨,덤벨 숄더 프레스,중급,앉거나 선 자세에서 덤벨을 머리 위로 밀어 올리는 운동,"어깨(삼각근), 팔 뒤쪽(삼두근) 발달","덤벨을 올릴 때 어깨가 으쓱하며 솟지 않도록 주의하고, 손목이 꺾이지 않게 세워줍니다."
어깨,사이드 레터럴 레이즈,중급,덤벨을 들고 팔을 옆으로 올리는 측면 어깨 운동,측면 삼각근 분리도 및 볼륨 증가,"반동을 써서 던지지 말고, 덤벨을 멀리 던진다는 느낌으로 통제하며 올립니다."
어깨,프론트 레이즈,중급,덤벨이나 바벨을 몸 앞쪽으로 들어 올리는 운동,전면 삼각근 발달,상체가 뒤로 눕는 반동을 제한하고 팔꿈치를 아주 살짝 구부려 관절을 보호합니다.
어깨,벤트오버 레터럴 레이즈,중급,상체를 앞으로 숙인 채 덤벨을 양옆으로 들어 올리는 운동,어깨 후면(후면 삼각근) 고립,승모근이 과도하게 개입하여 날개뼈가 모이지 않도록 어깨를 누른 상태로 진행합니다.
어깨,아놀드 프레스,중급,손바닥이 몸을 보게 시작하여 돌리며 위로 밀어 올리는 운동,전면 및 측면 삼각근의 회전 자극,덤벨을 돌리는 과정에서 어깨 관절에 무리가 갈 수 있으므로 적절한 무게로 수행합니다.
어깨,업라이트 로우,고급,바벨이나 덤벨을 몸에 밀착하여 턱 쪽으로 들어 올리는 운동,측면 삼각근 및 상부 승모근 강화,손목이 팔꿈치보다 높게 올라가면 충돌증후군이 생길 수 있으므로 팔꿈치를 높게 듭니다.
어깨,푸시프레스,고급,하체의 반동(치팅)을 이용하여 바벨을 머리 위로 강하게 미는 운동,어깨 전반의 스트렝스 및 전신 협응력,하체 힘이 상체로 연결될 때 척추가 과도하게 꺾이지 않도록 코어에 강한 힘을 줍니다.
어깨/등,덤벨 슈러그,초급,덤벨을 쥐고 어깨를 귀에 붙인다는 느낌으로 수직으로 올리는 운동,상부 승모근 발달 및 어깨 안정화,어깨를 으쓱할 때 목을 앞으로 과도하게 빼지 않도록 주의합니다.
이두근,벽 컬,초급,등을 벽에 완전히 밀착시킨 상태에서 이두 컬을 하는 운동,이두근 고립 및 치팅 방지,"팔꿈치와 어깨, 등이 벽에서 떨어지지 않게 고정한 채 이두의 힘으로만 올립니다."
이두근,밴드 컬,초급,탄성 밴드를 밟고 양손으로 당겨 올리는 팔 운동,이두근 자극 및 지속적인 텐션 유지,밴드가 수축할 때뿐만 아니라 내려놓을 때도 저항을 느끼며 천천히 내립니다.
이두근,덤벨 컬,초급,양손에 덤벨을 쥐고 팔꿈치를 고정한 채 들어 올리는 운동,팔 앞쪽(이두근) 집중 자극,덤벨을 들어 올릴 때 팔꿈치가 앞으로 나가거나 뒤로 빠지지 않도록 옆구리에 고정합니다.
이두근,해머 컬,중급,덤벨을 세워서 손바닥이 마주 보게 쥔 상태로 올리는 운동,전완근(팔뚝) 및 이두근 외측 두께감,손목이 꺾이거나 덜렁거리지 않게 제어하며 팔꿈치 위치를 고정합니다.
이두근,컨센트레이션 컬,중급,허벅지 안쪽에 팔꿈치를 고정하고 한 손으로 덤벨을 올리는 운동,이두근 정점 수축 및 봉우리 발달,다리에 기댄 팔꿈치가 미끄러지지 않게 단단히 고정하고 몸통 반동을 배제합니다.
이두근,프리처 컬,중급,경사 패드에 팔을 올려놓고 바벨이나 덤벨을 감아 올리는 운동,이두근 하부 고립 및 강제 수축,다리를 완전히 내릴 때 이두근 건에 무리가 갈 수 있으므로 완전히 펴기 직전까지만 내립니다.
이두근,케이블 컬,중급,케이블 머신의 하단 바를 연결하여 들어 올리는 팔 운동,이두근의 지속적인 장력 유지,바를 내릴 때 케이블이 당기는 무게에 툭 떨어지지 않게 버티며 내립니다.
이두근,EZ바 컬,고급,굴곡진 EZ바를 활용하여 손목 부담을 줄이고 올리는 이두 운동,이두근 안쪽 및 바깥쪽 매스 증대,손목은 편안하나 팔꿈치가 벌어질 수 있으므로 팔꿈치를 몸통 곁에 모아줍니다.
이두근,스파이더 컬,고급,경사 벤치에 가슴을 대고 엎드려 팔을 아래로 늘뜨린 채 올리는 운동,이두근 상부 강한 고립 수축,상체가 벤치에서 뜨지 않게 밀착하고 어깨가 앞으로 말려 나가지 않게 통제합니다.
삼두근,벤치 딥스,초급,벤치 끝에 손을 짚고 엉덩이를 허공에 둔 채 팔을 굽혔다 펴는 운동,팔 뒤쪽(삼두근) 기초 근력 향상,어깨 관절에 무리가 가지 않도록 등과 엉덩이를 벤치와 가까이 밀착시켜 내립니다.
삼두근,트라이셉스 킥백,초급,상체를 숙이고 팔꿈치 위치를 고정한 채 팔을 뒤로 뻗는 운동,팔 뒤쪽(삼두근) 라인 정리,상체를 앞으로 숙인 상태에서 팔꿈치 위치를 고정하고 팔 뒤쪽 힘으로만 뒤로 뻗어줍니다.
삼두근,오버헤드 트라이셉스 익스텐션,초급,덤벨을 머리 뒤로 넘겼다가 수직으로 들어 올리는 팔 운동,팔 뒤쪽(삼두근 장두) 탄력 및 라인 발달,덤벨을 내렸다가 올릴 때 팔꿈치가 바깥으로 너무 벌어지지 않게 모아줍니다.
삼두근,케이블 푸쉬다운,중급,케이블 바를 아래로 눌러 내리는 삼두 운동,팔 뒤쪽(삼두근) 외측두 부피 키우기,바를 아래로 누를 때 어깨가 앞으로 따라 들어가지 않도록 겨드랑이를 조이고 팔꿈치를 고정합니다.
삼두근,클로즈그립 벤치프레스,중급,바벨을 어깨너비보다 좁게 잡고 벤치프레스를 하는 운동,삼두근 전체 매스 증대 및 가슴 안쪽,그립이 너무 좁으면 손목과 팔꿈치에 통증이 오므로 어깨너비보다 약간만 좁게 잡습니다.
삼두근,스컬크러셔,중급,벤치에 누워 바벨을 이마나 정수리 쪽으로 굽혔다 펴는 운동,삼두근 장두 강한 타격 및 부피 성장,팔꿈치가 양옆으로 벌어지지 않게 모으고 바벨이 이마로 수직 추락하지 않게 통제합니다.
삼두근,로프 푸시다운,고급,케이블에 로프를 연결하여 아래로 찢으며 내려 짜주는 운동,삼두근 세부 갈래 분리도 향상,최대 수축 지점에서 로프 끝을 바깥쪽으로 벌려주며 삼두근을 강하게 쥐어짜 줍니다.
삼두근,원암 익스텐션,고급,한 손으로 덤벨이나 케이블을 잡고 머리 뒤나 옆으로 펴주는 운동,삼두근 좌우 불균형 교정 및 고립,팔꿈치가 흔들리기 쉬우므로 반대쪽 손으로 수행하는 팔의 팔꿈치를 받쳐주면 좋습니다.
삼두근,JM 프레스,고급,벤치프레스와 스컬크러셔를 혼합하여 팔꿈치를 가슴 쪽으로 당기며 밀어내는 운동,삼두근 건 스트렝스 및 삼두 하부 발달,팔꿈치 관절에 부하가 강하게 걸리므로 충분한 웜업 후 정확한 궤적으로 실시합니다.
복부,크런치,초급,누운 자세에서 상체 윗부분(날개뼈까지만) 말아 올리는 운동,복부 상부(상복직근) 집중 타격,"손으로 머리를 과도하게 잡아당기면 목에 무리가 가므로, 윗배를 접어 올린다는 느낌에 집중합니다."
복부,레그 레이즈,초급,누운 자세에서 다리를 들었다 바닥 직전까지 내리는 운동,복부 하부(하복직근) 탄력 강화,"다리를 내릴 때 허리가 바닥에서 뜨면 통증이 생기므로, 허리를 바닥에 밀착시킬 수 있는 높이까지만 내립니다."
복부,플랭크,초급,엎드려 뻗친 자세로 전신을 일직선으로 만들고 버티는 코어 운동,복부 전체(코어) 및 전신 안정성,"팔꿈치와 어깨가 수직을 이루게 하고, 허리가 아래로 꺾이지 않도록 복부에 힘을 줍니다."
복부,사이드 플랭크,중급,몸을 측면으로 세워 한 팔꿈치로 체중을 버티는 코어 운동,"옆구리(복사근), 중둔근, 코어 안정성","어깨 바로 아래에 팔꿈치를 두고, 골반이 아래로 처지거나 뒤로 빠지지 않도록 몸을 일직선으로 만듭니다."
복부,러시안 트위스트,중급,상체를 뒤로 기울인 채 좌우로 몸통을 회전하는 운동,옆구리(외복사근) 및 코어 강화,척추를 곧게 편 상태를 유지하고 다리가 지나치게 좌우로 흔들리지 않게 반동 없이 제어합니다.
복부,바이시클 크런치,중급,누워서 자전거 페달을 밟듯 상체를 비틀어 무릎과 팔꿈치를 교차하는 운동,복직근 및 옆구리(외복사근) 동시 타격,목을 손으로 꺾어 당기지 않도록 주의하고 코어의 힘으로 몸통을 돌려줍니다.
복부,마운틴 클라이머,중급,플랭크 자세에서 양발을 번갈아 가슴 쪽으로 빠르게 당기는 운동,복부 전체 전신 코어 및 유산소 효과,"플랭크 자세를 유지하며 다리를 교차하되, 엉덩이가 위아래로 너무 흔들리지 않게 합니다."
복부,시티드 니업,중급,벤치 끝에 앉아 손으로 중심을 잡고 상체와 다리를 모아주는 운동,하복부 및 장요근 탄력 증가,반동을 쓰지 않고 복부 힘으로만 다리를 당겨오고 버티며 이완합니다.
복부,행잉 레그 레이즈,고급,철봉에 매달려 다리를 위로 들어 올리는 코어 운동,복부 전체 (특히 하복부 강력 자극),철봉에 매달려 다리를 올릴 때 몸이 앞뒤로 너무 흔들리지 않도록 반동을 제어합니다.
복부,AB 롤아웃,고급,롤러를 잡고 앞으로 엎드려 뻗었다가 복부 힘으로 당겨오는 운동,상하복부 및 코어의 초고강도 발달,롤러를 앞으로 밀었을 때 허리가 아래로 푹 꺾이면 요추 부상이 오므로 버틸 수 있는 만큼만 이동합니다.
복부,V업,고급,누운 자세에서 상체와 다리를 동시에 들어 올려 V자를 만드는 운동,복부 상하부 동시 강한 수축,"등과 다리가 올라올 때 균형을 잃지 않도록 중심을 잡고, 허리에 강한 충격이 가지 않게 통제합니다."
허벅지,맨몸 스쿼트,초급,맨몸으로 주저앉았다가 일어나는 가장 기본적인 하체 운동,"허벅지 전면(대퇴사두근), 엉덩이(대둔근)","무릎이 발끝 앞으로 너무 나가지 않도록 하고, 허리가 말리지 않게 곧게 폅니다."
허벅지,런지,초급,한 발을 앞으로 내딛으며 주저앉는 하체 운동,허벅지 전체 및 엉덩이 근육 발달,"앞으로 나간 무릎의 각도가 90도가 되도록 하고, 무릎이 안쪽으로 모이지 않게 주의합니다."
허벅지,고블릿 스쿼트,초급,덤벨이나 케이블을 가슴 앞에 움켜잡고 수행하는 스쿼트,"허벅지 전체, 엉덩이, 코어 안정성",무게가 앞에 있어 상체가 앞으로 과도하게 숙여지는 것을 방지해주므로 상체를 곧게 세웁니다.
허벅지,레그프레스,중급,머신 발판에 발을 대고 밀어내는 하체 운동,허벅지 전체 및 엉덩이 근력 향상,"발판을 밀었을 때 무릎을 완전히 펴서 고정(Locking)하지 말고, 약간 구부린 상태까지만 밉니다."
허벅지,레그 익스텐션,중급,머신에 앉아 다리를 앞으로 차올리는 운동,허벅지 앞쪽(대퇴사두근) 고립 자극,다리를 차올릴 때 엉덩이가 패드에서 뜨지 않도록 손잡이를 잘 잡아 고정합니다.
허벅지,레그 컬,중급,엎드리거나 앉아서 패드를 다리 뒤로 당기는 운동,허벅지 뒤쪽(햄스트링) 단련,"패드를 당길 때 반동을 이용하지 말고, 골반이 패드에서 떨어지지 않게 누르며 진행합니다."
허벅지,불가리안 스플릿 스쿼트,중급,한쪽 발을 뒤쪽 의자에 걸치고 한 발로 런지하듯 내려가는 운동,앞쪽 다리 허벅지 및 둔근 강한 자극,골반이 틀어지지 않게 정면을 유지하고 디딘 발 무릎이 발끝 동선과 일치하게 내립니다.
허벅지,해크 스쿼트,고급,머신 등받이에 등을 대고 사선 방향으로 밀어 올리는 스쿼트,허벅지 전면 대퇴사두근 강한 고립,발판의 위치가 너무 낮으면 무릎 관절에 무리가 가므로 발을 적절히 위쪽에 배치합니다.
허벅지,프론트 스쿼트,고급,바벨을 가슴 위(전면 어깨)에 얹고 수행하는 스쿼트,허벅지 앞쪽 대퇴사두근 및 코어 강화,바벨이 앞으로 떨어지지 않도록 팔꿈치를 높게 들고 상체를 수직으로 세워 내려갑니다.
허벅지,바벨 스쿼트,고급,바벨을 등 뒤 승모근에 얹고 고중량으로 수행하는 스쿼트,하체 전체 매스 증대 및 전신 스트렝스,앉을 때 고관절을 먼저 접어 허리가 굽지 않게 척추 중립을 지키고 무릎 궤적을 유지합니다.
엉덩이,글루트 브리지,초급,누운 자세에서 골반을 위로 들어 올리는 운동,"엉덩이(대둔근), 허벅지 뒤쪽(햄스트링)","골반을 올릴 때 허리를 과도하게 꺾지 말고, 엉덩이 근육의 힘으로 밀어 올립니다."
엉덩이,힙 쓰러스트,초급,등 상부를 벤치에 걸치고 골반을 밀어 올리는 운동,엉덩이(대둔근 최고 자극) 및 힙업,"벤치에 날개뼈 하단을 대고 골반을 밀어 올리며, 턱을 살짝 당겨 시선을 정면에 둡니다."
엉덩이,글루트 킥백,초급,엎드린 채 다리를 뒤로 차올리는 둔근 운동,엉덩이(대둔근 상부) 힙업 효과,네발기기나 엎드린 자세에서 다리를 차올릴 때 허리 힘이 아닌 오직 엉덩이 수축에만 집중합니다.
엉덩이,스텝업,중급,벤치나 박스 위에 한 발씩 올라섰다 내려오는 운동,"허벅지, 엉덩이 근육 및 하체 밸런스","벤치나 박스에 발을 올릴 때 발바닥 전체로 지지하며 딛고, 무릎이 흔들리지 않게 올라섭니다."
엉덩이,스모 스쿼트,중급,다리를 넓게 벌리고 발끝을 바깥으로 열어 진행하는 스쿼트,"허벅지 안쪽(내전근), 엉덩이 자극","발끝과 무릎의 방향이 항상 일치하도록 넓게 벌려주며, 무릎이 안쪽으로 무너지지 않게 합니다."
엉덩이,케이블 킥백,중급,케이블 하단 스트랩을 발목에 걸고 다리를 뒤로 차는 운동,엉덩이 외측 및 상부 둔근 고립 자극,디디고 있는 반대쪽 다리로 중심을 잘 잡고 상체가 너무 과하게 흔들리지 않게 통제합니다.
엉덩이,싱글레그 브리지,고급,한 발을 들고 한쪽 다리의 힘으로만 골반을 들어 올리는 브리지,좌우 둔근 불균형 교정 및 둔근 강화,골반이 한쪽으로 기울어지지 않게 수평을 유지하며 균형을 잡고 올립니다.
엉덩이,밴드 워크,고급,무릎이나 발목에 미니 오프형 밴드를 끼우고 옆으로 걷는 운동,중둔근(엉덩이 측면) 자극 및 골반 안정성,상체가 옆으로 쓰러지지 않게 곧게 세우고 발을 디딜 때 밴드의 저항을 계속 유지합니다.
종아리,카프 레이즈,초급,곧게 선 자세에서 뒤꿈치를 높이 들었다 내리는 종아리 운동,"종아리(비복근, 가자미근) 강화","뒤꿈치를 올릴 때 엄지발가락 쪽에 힘을 실어 곧게 올리고, 내려올 때 부드럽게 통제합니다."
종아리,시티드 카프 레이즈,초급,의자에 앉아 무릎 위에 무게를 얹고 뒤꿈치를 드는 운동,종아리 하부(가자미근) 집중 발달,앉아서 진행하므로 발목 가동범위를 최대한 활용하여 깊게 이완하고 높게 수축합니다.
종아리,싱글레그 카프 레이즈,초급,한 발로 서서 체중을 실어 뒤꿈치를 올리는 종아리 운동,좌우 종아리 균형 발달 및 강도 증가,중심을 잃기 쉬우므로 벽이나 기둥을 손으로 가볍게 짚고 진행하여 종아리 자극에 집중합니다.
종아리,점프 로프,중급,줄넘기를 하며 가볍게 제자리뛰기를 반복하는 운동,종아리 근지구력 및 심폐 지구력 향상,발바닥 전체로 쿵쿵 떨어지지 말고 앞꿈치(발가락 뿌리 부분)로 가볍게 착지하여 충격을 흡수합니다.
종아리,박스 점프,중급,높은 박스 위로 순간적인 탄력을 이용해 뛰어오르는 운동,하체 순발력 및 종아리 플라이오메트릭 발달,박스 위에 착지할 때 무릎을 살짝 구부려 충격을 완화하고 발바닥 전체로 안전하게 딛습니다.
종아리,계단 오르기,중급,계단을 한 칸 혹은 두 칸씩 발앞꿈치에 힘을 주며 오르는 운동,하체 전반의 근지구력 및 종아리 자극,내려올 때는 관절에 무리가 갈 수 있으므로 가급적 오르기 동작 위주로 운동 구성을 짜는 것이 좋습니다.
종아리,도약 스쿼트,중급,스쿼트 자세에서 일어나면서 위로 강하게 점프하는 운동,하체 폭발력 및 종아리 비복근 자극,착지 시 무릎 관절 보호를 위해 스쿼트 자세로 부드럽게 연결하며 내려앉습니다.
종아리,스미스 카프 레이즈,고급,스미스 머신 바벨을 어깨에 지고 발판 위에서 뒤꿈치를 드는 운동,고중량 종아리 비복근 매스 증대,바벨 궤적이 고정되어 있으므로 발목이 좌우로 꺾이지 않게 곧게 밀어 올려야 합니다.
종아리,당나귀 카프 레이즈,고급,상체를 앞으로 숙이고 허리에 파트너를 태우거나 무게를 달고 뒤꿈치를 드는 운동,종아리 상부 최대 이완 및 자극,상체가 숙여진 상태이므로 요추 척추 붕괴가 일어나지 않도록 코어를 단단히 잡아둡니다.
종아리,힐 워크,고급,발앞꿈치를 높게 들고 뒤꿈치로만 걷는 운동,전경골근(정전강이 쪽) 및 발목 안정성,앞꿈치가 바닥에 닿지 않도록 계속 당겨주는 힘을 유지하며 곧게 걷습니다.
전완근,손목 컬,초급,전완을 허벅지나 벤치에 고정하고 손바닥이 위를 보게 해 손목을 까딱이는 운동,전완근 안쪽 굴곡근 발달,팔꿈치나 전완이 패드에서 떨어지지 않게 누르고 손목 동선만 가동합니다.
전완근,리버스 손목 컬,초급,손바닥이 아래를 향하게 손목을 쥐고 위로 들어 올리는 손목 운동,전완근 바깥쪽 신전근 발달,무거운 무게로 하면 손목 관절에 무리가 오므로 가벼운 무게로 고반복 자극을 줍니다.
전완근,파머스 워크,초급,양손에 무거운 덤벨을 들고 바른 자세로 걷는 운동,"악력, 어깨 트랩근, 전신 코어 및 안정성",어깨가 앞으로 말리거나 허리가 꺾이지 않게 가슴을 펴고 바르게 걷습니다.
전완근,그립 트레이너,중급,악력기를 손에 쥐고 강하게 쥐었다가 펴는 운동,손가락 파지력 및 전체적인 악력 향상,스프링의 반동에 손가락이 튕겨 나가지 않도록 놓아줄 때도 힘을 제어하며 펼칩니다.
전완근,데드행,중급,철봉에 단순히 매달려 체중을 버티는 운동,버티는 악력 및 전완근 지구력 강화,단순히 매달리되 어깨 관절 부상을 막기 위해 날개뼈를 살짝 아래로 눌러주는 느낌을 유지합니다.
전완근,리버스 컬,중급,손바닥이 아래를 보게 바벨이나 덤벨을 잡고 컬을 하는 운동,전완 상부(완요골근) 및 이두 외측 발달,바를 올릴 때 손목이 위아래로 덜렁거리지 않도록 전완과 손목 라인을 일직선으로 통제합니다.
전완근,타월 풀업,중급,철봉에 타월을 걸고 타월을 움켜쥔 채 턱걸이를 하는 운동,악력 및 전완근 극대화 유도,타월이 미끄러져 놓치지 않도록 꽉 움켜쥐며 매달릴 때 가슴을 열어줍니다.
전완근,플레이트 핀치,고급,원판(플레이트)의 가장자리를 손가락 끝 힘으로만 집어 버티는 운동,손가락 끝 꼬집는 힘(핀치 그립) 발달,원판이 발 위로 떨어지면 큰 부상이 발생하므로 안전한 높이에서 수행하거나 매트를 깔아둡니다.
전완근,해머 컬,고급,덤벨을 세워 마주 보게 잡고 올리는 운동,전완근 및 이두근 바깥쪽 두께감,중량이 올라갈수록 팔꿈치가 앞으로 흔들리기 쉬우므로 옆구리에 단단히 고정합니다.
전완근,손가락 푸시업,고급,손바닥 대신 손가락 끝으로만 바닥을 짚고 하는 푸쉬업,손가락 관절 스트렝스 및 전완근 극대화,손가락 관절 부상 위험이 매우 높으므로 무릎을 대고 약한 강도부터 천천히 시작합니다.
전신,슬로우 버피,초급,일반 버피에서 점프 동작을 제외하고 한 발씩 움직이는 운동,전신 근육 자극 및 기초 체력 향상,한 발씩 차분히 짚어 나가는 방식으로 관절에 가해지는 충격을 최소화합니다.
전신,점핑 잭,초급,팔과 다리를 넓게 벌리며 제자리에서 뛰는 유산소성 운동,전신 근육 활성화 및 높은 칼로리 소모,무릎 관절 보호를 위해 바닥에 떨어질 때 무릎을 살짝 구부리며 부드럽게 착지합니다.
전신,버피 테스트,고급,푸쉬업과 점프를 유기적으로 연결하는 고강도 전신 운동,"전신 근육 강화, 심폐 지구력 극대화",앉고 엎드릴 때 손목과 무릎에 쿵 소리가 나지 않도록 부드럽게 동작을 연결합니다.
전신/코어,암 워킹,중급,서서 손으로 바닥을 짚고 앞으로 걸어 나갔다 돌아오는 운동,"어깨 안정성 및 코어, 전신 유연성 향상",손으로 바닥을 짚고 앞으로 나갈 때 허리가 아래로 툭 떨어지지 않도록 복부에 힘을 꽉 줍니다.
하체/전신,하이 니,초급,제자리에서 뛰며 무릎을 골반 높이까지 높게 올리는 운동,하체 전반 자극 및 심폐 코어 기능 향상,상체가 뒤로 눕지 않게 유지하고 발바닥 앞꿈치로 부드럽게 소리 없이 착지합니다.
